Gene	Symbol	nTx	tTx	Score	Sign
10351	ABCA8	uc002jhq.2	uc002jhp.2	0.362948921348943	Mutual exclusion
7852	CXCR4	uc002tuz.2	uc002tuy.2	0.359352915121451	Mutual exclusion
5930	RBBP6	uc002dmh.2	uc010bxr.2	0.358808800362392	Mutual exclusion
22995	CEP152	uc001zwz.2	uc001zwy.2	0.357379154359852	Mutual exclusion
80344	DCAF11	uc001wmd.2	uc001wmb.3	0.357128162886294	Mutual exclusion
54762	GRAMD1C	uc003eas.2	uc003eaq.3	0.356949350706655	Mutual exclusion
240	ALOX5	uc001jce.2	uc010qfg.1	0.356852730104194	Mutual exclusion
197259	MLKL	uc002fdb.2	uc002fdc.2	0.356625450095343	Mutual exclusion
54662	TBC1D13	uc010myj.2	uc010myk.2	0.352655356898628	Mutual exclusion
4139	MARK1	uc001hmn.3	uc001hmm.3	0.352280191232197	Mutual exclusion
56916	SMARCAD1	uc003htb.3	uc011cdw.1	0.351660840950439	Mutual exclusion
53841	CDHR5	uc001lqk.2	uc001lql.2	0.348470987545762	Mutual exclusion
23383	KIAA0892	uc002nmk.3	uc010ecd.2	0.347438492362544	Mutual exclusion
4047	LSS	uc002zil.2	uc011afv.1	0.347150293854096	Mutual exclusion
22913	RALY	uc002xac.2	uc002xab.2	0.347080644009459	Mutual exclusion
9557	CHD1L	uc001epm.3	uc009wjh.2	0.344197067440466	Mutual exclusion
5791	PTPRE	uc001lkd.2	uc001lkb.2	0.343116302608257	Mutual exclusion
23396	PIP5K1C	uc002lyj.1	uc010xhq.1	0.342883518715256	Mutual exclusion
54681	P4HTM	uc003cvg.2	uc003cvh.2	0.341836016732014	Mutual exclusion
56999	ADAMTS9	uc011bfo.1	uc003dmg.2	0.34153062494375	Mutual exclusion
388115	C15orf52	uc001zlh.3	uc010ucn.1	0.341407063917439	Mutual exclusion
1859	DYRK1A	uc002ywk.2	uc002ywm.2	0.340447865518679	Mutual exclusion
960	CD44	uc001mvx.2	uc001mvw.2	0.33870101978857	Mutual exclusion
51343	FZR1	uc002lxt.2	uc002lxv.2	0.337890480682676	Mutual exclusion
7169	TPM2	uc003zxq.2	uc003zxs.2	0.336965157141219	Mutual exclusion
29968	PSAT1	uc004ala.2	uc004alb.2	0.33657154854852	Mutual exclusion
4253	CTAGE5	uc001wuz.3	uc001wvg.3	0.335849331919306	Mutual exclusion
51130	ASB3	uc002rxg.1	uc002rxi.3	0.335731359376768	Mutual exclusion
23074	UHRF1BP1L	uc001tgq.2	uc001tgr.2	0.334982254516847	Mutual exclusion
23065	KIAA0090	uc001bbo.2	uc001bbr.2	0.334702114663502	Mutual exclusion
51109	RDH11	uc001xjv.3	uc001xjx.3	0.333846304446064	Mutual exclusion
85360	SYDE1	uc002nah.1	uc002nai.1	0.332948809489198	Mutual exclusion
80206	FHOD3	uc002kzs.1	uc002kzt.1	0.332031021094177	Mutual exclusion
51765	MST4	uc004ewk.1	uc004ewm.1	0.33157531150042	Mutual exclusion
153020	RASGEF1B	uc003hmi.1	uc010ijq.1	0.33150708178694	Mutual exclusion
53354	PANK1	uc001kgn.1	uc001kgo.1	0.330140120664299	Mutual exclusion
444	ASPH	uc011leg.1	uc003xuj.2	0.330104409438216	Mutual exclusion
6560	SLC12A4	uc002euz.2	uc010vkh.1	0.328367635747381	Mutual exclusion
7812	CSDE1	uc001efl.2	uc009wgv.2	0.328122562043674	Mutual exclusion
10093	ARPC4	uc003bsz.1	uc003bta.1	0.327755473234909	Mutual exclusion
11160	ERLIN2	uc003xke.3	uc003xkc.3	0.327199382500626	Mutual exclusion
55011	PIH1D1	uc002pns.2	uc010yaq.1	0.326249609754194	Mutual exclusion
58497	PRUNE	uc001ewh.1	uc001ewj.1	0.324099852128283	Mutual exclusion
56253	CRTAM	uc001pyk.2	uc001pyj.2	0.323504403023597	Mutual exclusion
25959	KANK2	uc002mqo.3	uc002mqm.2	0.322800520395088	Mutual exclusion
55061	SUSD4	uc001hny.3	uc001hnz.2	0.32267257885052	Mutual exclusion
5936	RBM4	uc001oix.1	uc001oiw.1	0.322187642867598	Mutual exclusion
23224	SYNE2	uc010apy.2	uc001xgt.2	0.319958964542669	Mutual exclusion
2078	ERG	uc002yxa.2	uc011aek.1	0.318488459833346	Mutual exclusion
55671	SMEK1	uc001xzn.2	uc010atz.2	0.317028309890447	Mutual exclusion
57531	HACE1	uc003pqu.1	uc003pqt.1	0.31628108605308	Mutual exclusion
54963	UCKL1	uc010gkn.2	uc011abm.1	0.315270434778591	Mutual exclusion
9147	SDCCAG1	uc001wxc.2	uc001wwz.2	0.314707198130708	Mutual exclusion
4301	MLLT4	uc003qwd.2	uc003qwc.1	0.314336042401618	Mutual exclusion
23382	AHCYL2	uc003vov.2	uc011kox.1	0.310900749690276	Mutual exclusion
23242	COBL	uc003tps.2	uc011kcl.1	0.310347196847109	Mutual exclusion
55924	C1orf183	uc001ebo.1	uc001ebp.1	0.309727514180174	Mutual exclusion
10514	MYBBP1A	uc002fxz.3	uc002fyb.3	0.30972288726464	Mutual exclusion
6689	SPIB	uc002psd.2	uc002pse.2	0.309253193352813	Mutual exclusion
57502	NLGN4X	uc004crp.2	uc004crr.2	0.308721273993986	Mutual exclusion
5768	QSOX1	uc001gnz.2	uc001gny.2	0.30847996567679	Mutual exclusion
22937	SCAP	uc003crh.1	uc003crg.2	0.306238366620149	Mutual exclusion
83440	ADPGK	uc002avf.3	uc002ave.3	0.305987228728938	Mutual exclusion
55160	ARHGEF10L	uc001bao.2	uc001bap.2	0.304947742105018	Mutual exclusion
7010	TEK	uc003zqi.3	uc011lnp.1	0.304768537354294	Mutual exclusion
11276	SYNRG	uc002hoa.2	uc002hob.2	0.304318448046216	Mutual exclusion
373156	GSTK1	uc003wci.2	uc003wcj.2	0.303881850932982	Mutual exclusion
11276	SYNRG	uc002hoa.2	uc002hoe.2	0.303574283563389	Mutual exclusion
27297	CRCP	uc003tus.2	uc003tuu.2	0.303430758356373	Mutual exclusion
7099	TLR4	uc004bjz.2	uc004bkb.2	0.303344118322983	Mutual exclusion
55582	KIF27	uc004ana.2	uc010mpx.2	0.303301647886268	Mutual exclusion
6195	RPS6KA1	uc001bms.1	uc010ofe.1	0.302244886028538	Mutual exclusion
114876	OSBPL1A	uc010xbc.1	uc002kve.2	0.301543799735726	Mutual exclusion
9807	IP6K1	uc003cxm.1	uc011bcv.1	0.301088166798478	Mutual exclusion
84542	KIAA1841	uc002saw.3	uc002sav.3	0.301041847463865	Mutual exclusion
83593	RASSF5	uc001hef.2	uc001hed.2	0.30086651415089	Mutual exclusion
57758	SCUBE2	uc001mhi.1	uc001mhh.1	0.300530329665583	Mutual exclusion
171017	ZNF384	uc010sfh.1	uc001qqa.2	0.300223789810917	Mutual exclusion
8743	TNFSF10	uc003fid.2	uc003fie.2	0.300193590837814	Mutual exclusion
54737	MPHOSPH8	uc001umh.2	uc001umg.2	0.29942598151919	Mutual exclusion
25903	OLFML2B	uc001gbu.2	uc001gbt.2	0.299185538709416	Mutual exclusion
64222	TOR3A	uc001gmd.2	uc010pnd.1	0.297604264183018	Mutual exclusion
9641	IKBKE	uc001hdz.1	uc001hea.1	0.296833709087975	Mutual exclusion
286676	ILDR1	uc003ees.2	uc010hrg.2	0.295106822398675	Mutual exclusion
1500	CTNND1	uc001nlu.3	uc001nly.3	0.294508175651612	Mutual exclusion
119559	SFXN4	uc001leb.2	uc001ldy.2	0.293907737533401	Mutual exclusion
8507	ENC1	uc003kdc.3	uc011css.1	0.29164334040498	Mutual exclusion
